2145|TRANEXCO SA|Aduanas de Bogotá|TRAFICO POSTAL|TRANSVERSAL 93 No.62-70 INTERIOR 35.|1991-11-19|9999-12-31
2146|NEW EXPRESS MAIL LTDA|Aduanas de Bogotá|TRAFICO POSTAL|CALLE 25 D No. 97-79|1991-11-19|9999-12-31
2147|L & D COLOMBIA LTDA|Aduanas de Bogotá|TRAFICO POSTAL|Carrera 100 NO. 25C-11 Bodega 5. |1991-11-19|2014-04-27
2149|SOMOS COURRIER EXPRESS SA|Aduanas de Bogotá|TRAFICO POSTAL|AV LA ESPERANZA 77 A 52|2007-11-14|2012-11-14
2150|TEGO DELIVERY LTDA|Aduanas de Bogotá|TRAFICO POSTAL|CARRERA 83 No.24A-17|1991-11-19|9999-12-31
2154|DELIVERY COLOMBIA  S A|Aduanas de Bogotá|TRAFICO POSTAL|TRANSVERSAL 29 No. 40 A 57/59|1991-11-19|9999-12-31
2155|V M CARGO SERVICES LTDA|Aduanas de Bogotá|TRAFICO POSTAL|Calle 25C No. 84B-29. |2007-02-12|2014-05-07
2156|LOGISTICA TRANSPORTE Y DISTRIBUCION SA|Aduanas de Bogotá|TRAFICO POSTAL|Calle 22 J No. 97-66. Bogota|1991-11-19|9999-12-31
2157|YAZAKI CIEMEL S.A.|Aduanas de Bogotá|DEP PRIV TRANSF|Kilometroi 21. Autopista Norte Via Chia.|1991-11-19|2017-04-09
2158|TERMINALES AUTOMOTRICES S.A.|Aduanas de Bogotá|DEP PRIV TRANSF|Calle 5 No. 14-100. Kilometro 19. Casco Urbano Central. Parque Industrial Montana.  Mosquera-Cundinamarca|1991-11-19|2017-02-07
2159|Comp.Colombiana Automotriz S.A. Cca. T/E|Aduanas de Bogotá|DEP PRIV TRANSF|CLL13 38-54,CRA38 14A-34,CLLE15 39A39,CR|1988-09-15|2015-01-25
2160|CARROCERIAS EL SOL S.C.A.|Aduanas de Bogotá|DEP PRIV TRANSF|AUTOPISTA A SOACHAKM 8 CAZUCA ENTRADA 2|1991-11-19|9999-12-31
2162|Colmotores (T/E). Bta Clle 56sur|Aduanas de Bogotá|DEP PRIV TRANSF|CALLE 56 A SUR No.33A-53|1988-09-15|2017-01-27
2163|Fanalca S.A ( T/E) Bogota Cazuca|Aduanas de Bogotá|DEP PRIV TRANSF|TRANSVERSAL 7 No. 11-80 CAZUCA|1989-03-03|2013-02-25
2164|Non Plus Ultra S.A. Bta Cra 49 T/E|Aduanas de Bogotá|DEP PRIV TRANSF|CARRERA 49 No. 201-50|1988-09-15|2012-11-30
2166|Navitrans S.A. C.I.De Equipos Y Maq. T/E|Aduanas de Bogotá|DEP PRIV TRANSF|CARRERA 35 No. 13-65|1988-09-15|9999-12-31
2168|Andina Trim Ltda|Aduanas de Bogotá|DEP PRIV TRANSF|CARRERA 50 No.11-65 LOTE 5 PTE ARANDA|1988-09-15|2013-04-04
2169|SAUTO S.A. T/E.|Aduanas de Bogotá|DEP PRIV TRANSF|CARRERA 50 No.11-65|1989-02-24|2013-04-04
2170|Compañia De Autoensamble Nissan Ltda|Aduanas de Bogotá|DEP PRIV TRANSF|CARRERA 68 No. 22A-45|1998-01-30|2013-03-27
2171|THERMOFORM S.A.|Aduanas de Bogotá|DEP PRIV TRANSF|KILOMTERO 4.5 VÍA CAJICÁ - ZIPAQUIRA|1991-11-19|2013-01-25
2172|Trimco S.A|Aduanas de Bogotá|DEP PRIV TRANSF|CALLE 16 No. 62-49|1988-09-15|2013-01-08
